ctif_row,country_ctif,iso3,population_thousands,fire_stations,fire_engines,ladders,career_firefighters,part_time_firefighters,volunteer_firefighters,total_firefighters,fire_stations_per_100k,fire_engines_per_100k,ladders_per_100k,career_firefighters_per_100k,total_firefighters_per_100k,volunteer_share_percent,reference_period,source_report,source_page_pdf,source_url,source_file_sha256
1,China,CHN,1386000,,,,130000.0,,7500000.0,7630000.0,,,,9.37950937950938,550.5050505050506,98.2961992136304,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
2,USA,USA,336806,58700.0,71700.0,7500.0,383000.0,,635100.0,1018100.0,17.428430609906,21.288219331009543,2.226801185252044,113.71531386020439,302.2808382273475,62.380905608486394,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
3,Bangladesh,BGD,171186,492.0,1568.0,28.0,12702.0,1053.0,,13755.0,0.2874066804528408,0.915962753963525,0.01635647774934866,7.419999299008097,8.03511969436753,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
4,Russia,RUS,146781,18322.0,22735.0,1326.0,271000.0,,956600.0,1227600.0,12.482542018381125,15.489061935809131,0.9033866781122897,184.62880073033975,836.348028695812,77.92440534376018,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
5,Japan,JPN,125823,3093.0,7767.0,1077.0,166287.0,0.0,762770.0,929057.0,2.458215111704537,6.172957249469492,0.8559643308457118,132.15946210152356,738.3840792223997,82.10152875442519,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
6,Philippines,PHL,108771,1396.0,2803.0,48.0,26751.0,,,26751.0,1.283430326097949,2.576973641871455,0.04412940949333922,24.59387152825661,24.59387152825661,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
7,Vietnam,VNM,100300,486.0,1876.0,234.0,9678.0,,950735.0,960413.0,0.4845463609172483,1.8703888334995016,0.23330009970089732,9.649052841475573,957.5403788634098,98.9923085172733,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
8,Germany,DEU,83020,37175.0,41064.0,2509.0,34854.0,,1003594.0,1038448.0,44.77836665863647,49.46278005299928,3.0221633341363527,41.982654781980244,1250.8407612623464,96.64364513196617,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
9,France,FRA,66309,6503.0,7478.0,1231.0,54503.0,,198790.0,253293.0,9.807115172902622,11.277503807929543,1.8564599074032184,82.19547874345866,381.98887028910104,78.48223203957471,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
10,Great Britain,GBR,64903,2053.0,2900.0,235.0,40100.0,19000.0,1400.0,60500.0,3.163181979261359,4.4682064003204784,0.3620787945087284,61.78450919063834,93.21603007565136,2.3140495867768593,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
11,Iran,IRN,64000,452.0,1300.0,20.0,9285.0,,,9285.0,0.70625,2.03125,0.03125,14.5078125,14.5078125,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
12,Italy,ITA,61000,902.0,2330.0,307.0,28870.0,,20060.0,48930.0,1.478688524590164,3.819672131147541,0.5032786885245901,47.32786885245901,80.21311475409836,40.997343143265894,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
13,Korea (South),KOR,51774,226.0,2204.0,453.0,60994.0,,96561.0,157555.0,0.4365125352493529,4.256962954378646,0.8749565418936145,117.80816626105768,304.31297562483104,61.28716955983625,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
14,Poland,POL,37766,496.0,1625.0,539.0,30349.0,,505520.0,535869.0,1.3133506328443574,4.302812053169518,1.4272096594820738,80.36064184716412,1418.9191336122437,94.33648895532303,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
15,Ukraine,UKR,37441,2270.0,3134.0,367.0,53286.0,,190031.0,243317.0,6.062872252343688,8.370502924601372,0.98020886194279,142.31991666889238,649.8677919927353,78.10017384728563,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
16,Canada,CAN,35544,,,,26000.0,,126650.0,152650.0,,,,73.14877335133917,429.467702003151,82.96757287913528,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
