event_id,stratum_id,date,case,latitude,longitude,tmax_c,dewpoint_c,precipitation_mm,wind_speed_ms,tmax_lag1_c,tmax_lag2_c,tmax_lag3_c,tmax_p85_c,tmax_p90_c,tmax_p95_c,tmax_anomaly_c,heatwave_indicator,hw_p85_3d,hw_p90_2d,hw_p90_3d,hw_p90_4d,hw_p95_3d,hw_p90_3d_no_floor,weather_status,weather_source,power_api_version,power_time_standard,power_provisional
HRF-0001,HRF-0001,2000-08-02,1,22.27832,114.17469,27.99,25.54,24.97,6.02,28.15,29.28,30.12,31.44,31.832,32.431,-3.8420000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0001,HRF-0001,2000-08-09,0,22.27832,114.17469,29.63,24.87,0.19,2.67,29.54,29.4,29.05,31.44,31.832,32.431,-2.2020000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0001,HRF-0001,2000-08-16,0,22.27832,114.17469,28.56,25.94,8.37,3.76,29.33,29.03,28.99,31.44,31.832,32.431,-3.272000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0001,HRF-0001,2000-08-23,0,22.27832,114.17469,30.7,26.69,39.94,6.61,31.23,30.12,30.38,31.44,31.832,32.431,-1.1320000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0001,HRF-0001,2000-08-30,0,22.27832,114.17469,30.68,25.63,4.57,3.47,30.39,29.39,28.81,31.44,31.832,32.431,-1.152000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0130,HRF-0130,2021-12-15,1,22.27832,114.17469,23.66,18.02,0.74,4.86,23.08,22.04,24.92,24.025499999999997,24.672,25.4,-1.0120000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0130,HRF-0130,2021-12-01,0,22.27832,114.17469,21.12,5.4,0.0,7.29,23.72,26.51,25.03,24.025499999999997,24.672,25.4,-3.5519999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0130,HRF-0130,2021-12-08,0,22.27832,114.17469,23.33,13.7,0.0,5.57,23.33,23.15,22.34,24.025499999999997,24.672,25.4,-1.3420000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0130,HRF-0130,2021-12-22,0,22.27832,114.17469,22.26,14.49,0.08,3.65,19.89,17.47,20.28,24.025499999999997,24.672,25.4,-2.411999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0130,HRF-0130,2021-12-29,0,22.27832,114.17469,21.8,12.62,0.19,4.14,18.21,15.18,18.86,24.025499999999997,24.672,25.4,-2.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0133,HRF-0133,2022-09-21,1,22.27832,114.17469,29.6,22.6,0.12,5.25,30.61,32.51,32.7,31.173000000000002,31.541999999999998,32.06,-1.9419999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0133,HRF-0133,2022-09-07,0,22.27832,114.17469,28.72,25.33,4.1,3.88,31.37,31.64,31.12,31.173000000000002,31.541999999999998,32.06,-2.821999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0133,HRF-0133,2022-09-14,0,22.27832,114.17469,32.25,21.3,0.0,3.85,32.76,32.53,31.65,31.173000000000002,31.541999999999998,32.06,0.708000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0133,HRF-0133,2022-09-28,0,22.27832,114.17469,30.9,24.4,0.41,6.55,31.3,31.74,31.13,31.173000000000002,31.541999999999998,32.06,-0.6419999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0139,HRF-0139,2023-03-02,1,22.27832,114.17469,23.24,13.46,0.0,5.66,25.22,21.39,20.64,26.0265,26.601000000000003,27.262999999999998,-3.361000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0139,HRF-0139,2023-03-09,0,22.27832,114.17469,26.51,17.45,0.02,2.05,24.78,23.73,23.43,26.0265,26.601000000000003,27.262999999999998,-0.09100000000000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
