latitude,longitude,api_version,api_name,sources,time_standard,fill_value,request_start,request_end,accessed_utc,request_url
22.27832,114.17469,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20230330,2026-08-31T11:09:44.464540+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=114.17469&latitude=22.27832&start=19910101&end=20230330&format=JSON
55.75204,37.61781,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:09:47.920375+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=37.61781&latitude=55.75204&start=19910101&end=20201231&format=JSON
-34.89842,148.85272,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:09:51.583251+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=148.85272&latitude=-34.89842&start=19910101&end=20201231&format=JSON
27.9659,-82.8001,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:09:54.874846+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-82.8001&latitude=27.9659&start=19910101&end=20201231&format=JSON
-26.2041,28.0473,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:12:25.054797+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=28.0473&latitude=-26.2041&start=19910101&end=20201231&format=JSON
51.5169,-0.1774,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:12:28.430712+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-0.1774&latitude=51.5169&start=19910101&end=20201231&format=JSON
41.8833,-87.6302,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:12:31.833727+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-87.6302&latitude=41.8833&start=19910101&end=20201231&format=JSON
30.056,31.33,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:12:35.092026+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=31.33&latitude=30.056&start=19910101&end=20201231&format=JSON
10.4983,-66.9022,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:14:59.032339+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-66.9022&latitude=10.4983&start=19910101&end=20201231&format=JSON
41.881,-87.632,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:15:16.378923+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-87.632&latitude=41.881&start=19910101&end=20201231&format=JSON
