event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0002,HRF-0002,2000-08-27,1.0,Event day,-9.49267120361328,0.0
HRF-0002,HRF-0002,2000-08-06,0.0,Matched control day,-7.447978210449218,0.0
HRF-0002,HRF-0002,2000-08-13,0.0,Matched control day,-5.5680191040039055,0.0
HRF-0002,HRF-0002,2000-08-20,0.0,Matched control day,-7.038264465332031,0.0
HRF-0001,HRF-0001,2000-08-02,1.0,Event day,-3.603901672363282,0.0
HRF-0001,HRF-0001,2000-08-09,0.0,Matched control day,-1.121144104003907,0.0
HRF-0001,HRF-0001,2000-08-16,0.0,Matched control day,-2.524845886230469,0.0
HRF-0001,HRF-0001,2000-08-23,0.0,Matched control day,0.261820983886718,0.0
HRF-0001,HRF-0001,2000-08-30,0.0,Matched control day,-1.445301818847657,0.0
HRF-0006,HRF-0006,2002-06-02,1.0,Event day,-1.2169265747070312,0.0
HRF-0006,HRF-0006,2002-06-09,0.0,Matched control day,-4.763664245605469,0.0
HRF-0006,HRF-0006,2002-06-16,0.0,Matched control day,-1.2782363891601562,0.0
HRF-0006,HRF-0006,2002-06-23,0.0,Matched control day,-3.5996322631835938,0.0
HRF-0006,HRF-0006,2002-06-30,0.0,Matched control day,-5.728614807128906,0.0
HRF-0007,HRF-0007,2002-06-28,1.0,Event day,-1.331208801269533,0.0
HRF-0007,HRF-0007,2002-06-07,0.0,Matched control day,-2.2150283813476577,0.0
HRF-0007,HRF-0007,2002-06-14,0.0,Matched control day,-2.581544494628908,0.0
HRF-0007,HRF-0007,2002-06-21,0.0,Matched control day,-3.158433532714845,0.0
HRF-0008,HRF-0008,2003-03-05,1.0,Event day,-0.646453857421875,0.0
HRF-0008,HRF-0008,2003-03-12,0.0,Matched control day,-0.95147705078125,0.0
HRF-0008,HRF-0008,2003-03-19,0.0,Matched control day,-0.177978515625,0.0
HRF-0008,HRF-0008,2003-03-26,0.0,Matched control day,-6.110641479492188,0.0
HRF-0009,HRF-0009,2003-07-29,1.0,Event day,-5.493132019042967,0.0
HRF-0009,HRF-0009,2003-07-01,0.0,Matched control day,-7.065321350097655,0.0
HRF-0009,HRF-0009,2003-07-08,0.0,Matched control day,-3.9958175659179673,0.0
HRF-0009,HRF-0009,2003-07-15,0.0,Matched control day,2.7180801391601577,0.0
HRF-0009,HRF-0009,2003-07-22,0.0,Matched control day,-3.561109924316405,0.0
HRF-0010,HRF-0010,2003-10-17,1.0,Event day,-9.92767791748047,0.0
HRF-0010,HRF-0010,2003-10-03,0.0,Matched control day,-9.675205993652344,0.0
HRF-0010,HRF-0010,2003-10-10,0.0,Matched control day,-1.610493469238282,0.0
HRF-0010,HRF-0010,2003-10-24,0.0,Matched control day,-7.4653671264648445,0.0
HRF-0010,HRF-0010,2003-10-31,0.0,Matched control day,-5.010670471191407,0.0
HRF-0012,HRF-0012,2004-01-26,1.0,Event day,-6.009214782714846,0.0
HRF-0012,HRF-0012,2004-01-05,0.0,Matched control day,-2.4530471801757834,0.0
HRF-0012,HRF-0012,2004-01-12,0.0,Matched control day,-7.105650329589846,0.0
HRF-0012,HRF-0012,2004-01-19,0.0,Matched control day,-3.0556167602539084,0.0
HRF-0014,HRF-0014,2004-12-07,1.0,Event day,0.291545104980468,0.0
HRF-0014,HRF-0014,2004-12-14,0.0,Matched control day,-10.378392028808594,0.0
HRF-0014,HRF-0014,2004-12-21,0.0,Matched control day,-5.906834411621095,0.0
HRF-0014,HRF-0014,2004-12-28,0.0,Matched control day,-4.926350402832032,0.0
HRF-0013,HRF-0013,2004-10-17,1.0,Event day,-1.0683242797851555,0.0
HRF-0013,HRF-0013,2004-10-03,0.0,Matched control day,-0.732218933105468,0.0
HRF-0013,HRF-0013,2004-10-10,0.0,Matched control day,-0.146708679199218,0.0
HRF-0013,HRF-0013,2004-10-24,0.0,Matched control day,-1.821025085449218,0.0
HRF-0013,HRF-0013,2004-10-31,0.0,Matched control day,-2.2756912231445305,0.0
HRF-0016,HRF-0016,2005-02-12,1.0,Event day,-1.3318511962890651,0.0
HRF-0016,HRF-0016,2005-02-05,0.0,Matched control day,-6.749499511718753,0.0
HRF-0016,HRF-0016,2005-02-19,0.0,Matched control day,-6.352770996093753,0.0
HRF-0016,HRF-0016,2005-02-26,0.0,Matched control day,-9.682070922851564,0.0
HRF-0017,HRF-0017,2005-04-21,1.0,Event day,-11.352816772460937,0.0
HRF-0017,HRF-0017,2005-04-07,0.0,Matched control day,-5.919100952148437,0.0
HRF-0017,HRF-0017,2005-04-14,0.0,Matched control day,-2.2005187988281243,0.0
HRF-0017,HRF-0017,2005-04-28,0.0,Matched control day,-5.313342285156249,0.0
HRF-0019,HRF-0019,2006-05-30,1.0,Event day,5.366119384765625,0.0
HRF-0019,HRF-0019,2006-05-02,0.0,Matched control day,-18.947097778320312,0.0
HRF-0019,HRF-0019,2006-05-09,0.0,Matched control day,-11.39801025390625,0.0
