term,log_ratio,std_error,multiplicative_ratio,ci_low,ci_high,p_value,outcome_field,n_observations,n_positive,reporting_rate,weighting,effective_sample_size,outcome_transform,building_scale_definition,outcome,predictor
building_scale_scaled,-0.2071610081694854,0.1604940752587259,0.8128887577196159,0.5934932752414311,1.1133877332613986,0.1967832907157662,deaths,177,74,0.986842105263158,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys,Deaths,"Reported building size
(per IQR)"
event_year_10y,-0.0981566030426581,0.1379486392246575,0.9065069308939514,0.6917463506078718,1.1879423939665956,0.4767468515280254,deaths,177,74,0.986842105263158,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys,Deaths,"Event year
(per 10 years)"
log_gdp_scaled,-0.5152231088440044,0.2347378128781073,0.5973673018212341,0.3770757353884931,0.9463554925313048,0.0281716633310179,deaths,177,74,0.986842105263158,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys,Deaths,"Log GDP per capita
(per IQR)"
construction_related,-0.538648404767984,0.2730021339761952,0.583536424658328,0.3417305946246872,0.9964421221254772,0.0484892216072874,deaths,177,74,0.986842105263158,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys,Deaths,Construction-related
facade_fire,-0.5064421488357836,0.258019834202817,0.6026358578458841,0.3634327435049918,0.9992769877011825,0.0496690491822575,deaths,177,74,0.986842105263158,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys,Deaths,Façade fire
arson_trigger,0.1757605862562191,0.4509450038784706,1.1921526067627373,0.4925833365844743,2.8852535850397363,0.6967135956021597,deaths,177,74,0.986842105263158,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys,Deaths,Arson trigger
building_scale_scaled,-0.2953285102972479,0.2626867011152202,0.7442870413429595,0.4447715744354086,1.2455004585539335,0.2609021615081867,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys,Injuries,"Reported building size
(per IQR)"
event_year_10y,-0.6372858051749739,0.2553841016289769,0.5287255424130958,0.3205110120094683,0.8722031029366443,0.0125814771021535,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys,Injuries,"Event year
(per 10 years)"
log_gdp_scaled,0.0139211334396892,0.3409724682586871,1.0140184836349495,0.5197616674252521,1.9782787950617664,0.9674332287750768,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys,Injuries,"Log GDP per capita
(per IQR)"
construction_related,-1.165024600425827,0.6914778882771727,0.3119149886967197,0.0804337623313051,1.2095786315817874,0.0920208420329643,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys,Injuries,Construction-related
facade_fire,-1.366909720150323,0.4144842147280471,0.2548934357594631,0.113120825305782,0.574347503367646,0.0009742569481265,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys,Injuries,Façade fire
arson_trigger,0.110298985305984,0.6188122945015057,1.1166118710975872,0.3320156701551606,3.7553109167810623,0.8585321089031059,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys,Injuries,Arson trigger
