event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0001,HRF-0001,2000-08-02,1,Event day,-3.8420000000000014,0.0
HRF-0001,HRF-0001,2000-08-09,0,Matched control day,-2.2020000000000017,0.0
HRF-0001,HRF-0001,2000-08-16,0,Matched control day,-3.272000000000002,0.0
HRF-0001,HRF-0001,2000-08-23,0,Matched control day,-1.1320000000000014,0.0
HRF-0001,HRF-0001,2000-08-30,0,Matched control day,-1.152000000000001,0.0
HRF-0130,HRF-0130,2021-12-15,1,Event day,-1.0120000000000005,0.0
HRF-0130,HRF-0130,2021-12-01,0,Matched control day,-3.552,0.0
HRF-0130,HRF-0130,2021-12-08,0,Matched control day,-1.3420000000000023,0.0
HRF-0130,HRF-0130,2021-12-22,0,Matched control day,-2.411999999999999,0.0
HRF-0130,HRF-0130,2021-12-29,0,Matched control day,-2.872,0.0
HRF-0133,HRF-0133,2022-09-21,1,Event day,-1.9419999999999968,0.0
HRF-0133,HRF-0133,2022-09-07,0,Matched control day,-2.821999999999999,0.0
HRF-0133,HRF-0133,2022-09-14,0,Matched control day,0.708000000000002,1.0
HRF-0133,HRF-0133,2022-09-28,0,Matched control day,-0.6419999999999995,0.0
HRF-0139,HRF-0139,2023-03-02,1,Event day,-3.361000000000004,0.0
HRF-0139,HRF-0139,2023-03-09,0,Matched control day,-0.091000000000001,0.0
HRF-0139,HRF-0139,2023-03-16,0,Matched control day,-0.7010000000000041,0.0
HRF-0139,HRF-0139,2023-03-23,0,Matched control day,0.4189999999999969,0.0
HRF-0139,HRF-0139,2023-03-30,0,Matched control day,-1.9910000000000032,0.0
HRF-0002,HRF-0002,2000-08-27,1,Event day,-6.753,0.0
HRF-0002,HRF-0002,2000-08-06,0,Matched control day,-6.023,0.0
HRF-0002,HRF-0002,2000-08-13,0,Matched control day,-5.413,0.0
HRF-0002,HRF-0002,2000-08-20,0,Matched control day,-6.053000000000001,0.0
HRF-0045,HRF-0045,2012-04-02,1,Event day,-17.294,0.0
HRF-0045,HRF-0045,2012-04-09,0,Matched control day,-16.483999999999998,0.0
HRF-0045,HRF-0045,2012-04-16,0,Matched control day,-14.094,0.0
HRF-0045,HRF-0045,2012-04-23,0,Matched control day,-1.1839999999999993,0.0
HRF-0045,HRF-0045,2012-04-30,0,Matched control day,-4.204000000000001,0.0
HRF-0052,HRF-0052,2013-01-25,1,Event day,-12.721,0.0
HRF-0052,HRF-0052,2013-01-04,0,Matched control day,-4.071000000000001,0.0
HRF-0052,HRF-0052,2013-01-11,0,Matched control day,-14.461,0.0
HRF-0052,HRF-0052,2013-01-18,0,Matched control day,-15.651,0.0
HRF-0006,HRF-0006,2002-06-02,1,Event day,-0.0730000000000004,0.0
HRF-0006,HRF-0006,2002-06-09,0,Matched control day,-6.813000000000001,0.0
HRF-0006,HRF-0006,2002-06-16,0,Matched control day,-1.853000000000001,0.0
HRF-0006,HRF-0006,2002-06-23,0,Matched control day,-5.253,0.0
HRF-0006,HRF-0006,2002-06-30,0,Matched control day,-4.9830000000000005,0.0
HRF-0007,HRF-0007,2002-06-28,1,Event day,-5.460999999999995,0.0
HRF-0007,HRF-0007,2002-06-07,0,Matched control day,-2.170999999999996,0.0
HRF-0007,HRF-0007,2002-06-14,0,Matched control day,-2.6809999999999974,0.0
HRF-0007,HRF-0007,2002-06-21,0,Matched control day,-4.7309999999999945,0.0
HRF-0008,HRF-0008,2003-03-05,1,Event day,0.3959999999999972,1.0
HRF-0008,HRF-0008,2003-03-12,0,Matched control day,-0.2540000000000013,0.0
HRF-0008,HRF-0008,2003-03-19,0,Matched control day,-2.0340000000000025,0.0
HRF-0008,HRF-0008,2003-03-26,0,Matched control day,-4.654000000000004,0.0
HRF-0009,HRF-0009,2003-07-29,1,Event day,-5.721000000000004,0.0
HRF-0009,HRF-0009,2003-07-01,0,Matched control day,-8.561000000000003,0.0
HRF-0009,HRF-0009,2003-07-08,0,Matched control day,-4.531000000000002,0.0
HRF-0009,HRF-0009,2003-07-15,0,Matched control day,1.6389999999999958,0.0
HRF-0009,HRF-0009,2003-07-22,0,Matched control day,-3.681000000000001,0.0
HRF-0010,HRF-0010,2003-10-17,1,Event day,-8.342,0.0
HRF-0010,HRF-0010,2003-10-03,0,Matched control day,-8.552,0.0
HRF-0010,HRF-0010,2003-10-10,0,Matched control day,-0.4319999999999986,0.0
HRF-0010,HRF-0010,2003-10-24,0,Matched control day,-6.362,0.0
HRF-0010,HRF-0010,2003-10-31,0,Matched control day,-5.132,0.0
HRF-0012,HRF-0012,2004-01-26,1,Event day,-6.311,0.0
HRF-0012,HRF-0012,2004-01-05,0,Matched control day,-2.6110000000000007,0.0
HRF-0012,HRF-0012,2004-01-12,0,Matched control day,-8.351,0.0
HRF-0012,HRF-0012,2004-01-19,0,Matched control day,-2.6610000000000014,0.0
HRF-0013,HRF-0013,2004-10-17,1,Event day,-1.171000000000003,0.0
HRF-0013,HRF-0013,2004-10-03,0,Matched control day,-2.631,0.0
HRF-0013,HRF-0013,2004-10-10,0,Matched control day,0.0289999999999999,0.0
HRF-0013,HRF-0013,2004-10-24,0,Matched control day,-1.081000000000003,0.0
HRF-0013,HRF-0013,2004-10-31,0,Matched control day,-3.881,0.0
HRF-0014,HRF-0014,2004-12-07,1,Event day,0.7800000000000002,0.0
HRF-0014,HRF-0014,2004-12-14,0,Matched control day,-9.0,0.0
HRF-0014,HRF-0014,2004-12-21,0,Matched control day,-6.640000000000001,0.0
HRF-0014,HRF-0014,2004-12-28,0,Matched control day,-3.95,0.0
HRF-0016,HRF-0016,2005-02-12,1,Event day,-0.3100000000000005,0.0
HRF-0016,HRF-0016,2005-02-05,0,Matched control day,-7.23,0.0
HRF-0016,HRF-0016,2005-02-19,0,Matched control day,-5.330000000000002,0.0
HRF-0016,HRF-0016,2005-02-26,0,Matched control day,-10.23,0.0
HRF-0017,HRF-0017,2005-04-21,1,Event day,-10.669999999999998,0.0
HRF-0017,HRF-0017,2005-04-07,0,Matched control day,-5.149999999999999,0.0
HRF-0017,HRF-0017,2005-04-14,0,Matched control day,-1.9800000000000004,0.0
HRF-0017,HRF-0017,2005-04-28,0,Matched control day,-4.639999999999999,0.0
HRF-0019,HRF-0019,2006-05-30,1,Event day,5.799,0.0
HRF-0019,HRF-0019,2006-05-02,0,Matched control day,-21.021,0.0
HRF-0019,HRF-0019,2006-05-09,0,Matched control day,-12.101000000000004,0.0
HRF-0019,HRF-0019,2006-05-16,0,Matched control day,-8.741000000000003,0.0
HRF-0019,HRF-0019,2006-05-23,0,Matched control day,-4.281000000000002,0.0
HRF-0021,HRF-0021,2007-01-18,1,Event day,-5.923000000000002,0.0
HRF-0021,HRF-0021,2007-01-04,0,Matched control day,-5.023,0.0
HRF-0021,HRF-0021,2007-01-11,0,Matched control day,-6.382999999999999,0.0
HRF-0021,HRF-0021,2007-01-25,0,Matched control day,-2.673000000000002,0.0
HRF-0050,HRF-0050,2012-10-06,1,Event day,0.3380000000000009,0.0
HRF-0050,HRF-0050,2012-10-13,0,Matched control day,-2.3419999999999987,0.0
HRF-0050,HRF-0050,2012-10-20,0,Matched control day,-1.731999999999999,0.0
HRF-0050,HRF-0050,2012-10-27,0,Matched control day,-2.9720000000000013,0.0
HRF-0051,HRF-0051,2012-11-18,1,Event day,-3.7509999999999977,0.0
HRF-0051,HRF-0051,2012-11-04,0,Matched control day,-0.1109999999999971,0.0
HRF-0051,HRF-0051,2012-11-11,0,Matched control day,-1.3009999999999984,0.0
HRF-0051,HRF-0051,2012-11-25,0,Matched control day,-3.230999999999998,0.0
HRF-0066,HRF-0066,2015-02-21,1,Event day,-0.9130000000000004,0.0
HRF-0066,HRF-0066,2015-02-07,0,Matched control day,-4.823,0.0
HRF-0066,HRF-0066,2015-02-14,0,Matched control day,1.1870000000000012,0.0
HRF-0066,HRF-0066,2015-02-28,0,Matched control day,-5.632999999999999,0.0
HRF-0075,HRF-0075,2015-12-31,1,Event day,-1.4420000000000002,0.0
HRF-0075,HRF-0075,2015-12-03,0,Matched control day,-0.6819999999999986,0.0
HRF-0075,HRF-0075,2015-12-10,0,Matched control day,-3.411999999999999,0.0
HRF-0075,HRF-0075,2015-12-17,0,Matched control day,-4.0120000000000005,0.0
HRF-0075,HRF-0075,2015-12-24,0,Matched control day,-1.6920000000000002,0.0
HRF-0081,HRF-0081,2016-07-20,1,Event day,-1.2520000000000024,0.0
HRF-0081,HRF-0081,2016-07-06,0,Matched control day,-3.682000000000002,0.0
HRF-0081,HRF-0081,2016-07-13,0,Matched control day,-4.282000000000004,0.0
HRF-0081,HRF-0081,2016-07-27,0,Matched control day,-2.632000000000005,0.0
HRF-0085,HRF-0085,2016-12-13,1,Event day,-3.722000000000001,0.0
HRF-0085,HRF-0085,2016-12-06,0,Matched control day,1.2280000000000015,0.0
HRF-0085,HRF-0085,2016-12-20,0,Matched control day,-2.5420000000000016,0.0
HRF-0085,HRF-0085,2016-12-27,0,Matched control day,-0.9319999999999986,0.0
HRF-0087,HRF-0087,2017-03-02,1,Event day,-2.8260000000000005,0.0
HRF-0087,HRF-0087,2017-03-09,0,Matched control day,-5.046000000000003,0.0
HRF-0087,HRF-0087,2017-03-16,0,Matched control day,-2.026,0.0
HRF-0087,HRF-0087,2017-03-23,0,Matched control day,-2.746000000000002,0.0
HRF-0087,HRF-0087,2017-03-30,0,Matched control day,-2.096,0.0
HRF-0092,HRF-0092,2017-08-04,1,Event day,-2.0500000000000043,0.0
HRF-0092,HRF-0092,2017-08-11,0,Matched control day,0.3200000000000003,1.0
HRF-0092,HRF-0092,2017-08-18,0,Matched control day,-3.470000000000006,0.0
