stratum_id,event_id,event_anomaly_c,control_mean_anomaly_c,event_minus_control_c,continent
HRF-0001,HRF-0001,-3.8420000000000014,-1.9395000000000016,-1.9024999999999999,Asia
HRF-0002,HRF-0002,-6.753,-5.829666666666667,-0.9233333333333329,Europe
HRF-0006,HRF-0006,-0.0730000000000004,-4.7255,4.6525,Oceania
HRF-0007,HRF-0007,-5.460999999999995,-3.1943333333333293,-2.2666666666666657,North America
HRF-0008,HRF-0008,0.3959999999999972,-2.3140000000000027,2.71,Africa
HRF-0009,HRF-0009,-5.721000000000004,-3.7835000000000027,-1.9375000000000009,Europe
HRF-0010,HRF-0010,-8.342,-5.1194999999999995,-3.222500000000001,North America
HRF-0012,HRF-0012,-6.311,-4.541000000000001,-1.7699999999999987,Africa
HRF-0013,HRF-0013,-1.171000000000003,-1.8910000000000007,0.7199999999999978,South America
HRF-0014,HRF-0014,0.7800000000000002,-6.53,7.3100000000000005,North America
HRF-0016,HRF-0016,-0.3100000000000005,-7.596666666666668,7.286666666666667,Europe
HRF-0017,HRF-0017,-10.669999999999998,-3.9233333333333325,-6.746666666666666,Europe
HRF-0019,HRF-0019,5.799,-11.536000000000005,17.335000000000004,Asia
HRF-0021,HRF-0021,-5.923000000000002,-4.6930000000000005,-1.2300000000000013,Asia
HRF-0022,HRF-0022,-4.050000000000001,-1.5,-2.5500000000000007,Asia
HRF-0023,HRF-0023,-5.323,-2.309666666666667,-3.013333333333333,North America
HRF-0024,HRF-0024,-1.9510000000000003,-3.801,1.8499999999999999,North America
HRF-0025,HRF-0025,-6.311,-4.774333333333334,-1.5366666666666662,North America
HRF-0026,HRF-0026,-6.2010000000000005,-4.484333333333334,-1.7166666666666668,Europe
HRF-0028,HRF-0028,-6.700000000000003,-2.076666666666668,-4.623333333333335,Asia
HRF-0029,HRF-0029,2.5600000000000005,-7.79,10.350000000000001,Asia
HRF-0030,HRF-0030,-2.4509999999999934,-2.8743333333333276,0.4233333333333342,Asia
HRF-0031,HRF-0031,-3.360999999999997,-2.3384999999999945,-1.0225000000000026,Asia
HRF-0032,HRF-0032,-2.171000000000003,-6.178500000000002,4.007499999999999,Europe
HRF-0033,HRF-0033,-5.782999999999998,-3.795499999999997,-1.9875000000000007,Europe
HRF-0035,HRF-0035,-2.6330000000000027,-2.6963333333333352,0.06333333333333258,Asia
HRF-0036,HRF-0036,-1.2109999999999983,-4.5535000000000005,3.342500000000002,Asia
HRF-0037,HRF-0037,-7.331000000000001,-6.334333333333334,-0.996666666666667,Europe
HRF-0038,HRF-0038,3.0379999999999985,-8.345333333333334,11.383333333333333,Europe
HRF-0039,HRF-0039,-9.142,-5.386999999999999,-3.755000000000001,Asia
HRF-0040,HRF-0040,-7.67,-8.07,0.40000000000000036,Asia
HRF-0041,HRF-0041,-7.311,-7.328499999999999,0.017499999999999183,Asia
HRF-0042,HRF-0042,-0.4310000000000009,-1.0243333333333335,0.5933333333333326,Asia
HRF-0043,HRF-0043,-3.940000000000001,-3.099999999999999,-0.8400000000000016,Asia
HRF-0044,HRF-0044,-1.3810000000000002,-3.596000000000002,2.2150000000000016,Asia
HRF-0045,HRF-0045,-17.294,-8.991499999999998,-8.302500000000002,Europe
HRF-0046,HRF-0046,-1.0110000000000028,-5.921000000000002,4.909999999999999,Asia
HRF-0047,HRF-0047,-6.811,-3.341000000000001,-3.469999999999999,Europe
HRF-0048,HRF-0048,-1.772000000000002,-0.5570000000000004,-1.2150000000000016,Asia
HRF-0049,HRF-0049,-0.6700000000000017,-2.06,1.3899999999999983,Oceania
HRF-0050,HRF-0050,0.3380000000000009,-2.3486666666666665,2.6866666666666674,Asia
HRF-0051,HRF-0051,-3.7509999999999977,-1.5476666666666645,-2.203333333333333,Asia
HRF-0052,HRF-0052,-12.721,-11.394333333333334,-1.3266666666666662,Europe
HRF-0053,HRF-0053,1.59,-3.0100000000000007,4.6000000000000005,North America
HRF-0054,HRF-0054,-2.942,-12.982,10.04,Europe
HRF-0055,HRF-0055,-4.4510000000000005,-5.516000000000002,1.0650000000000013,Asia
HRF-0056,HRF-0056,-1.1900000000000013,-1.8933333333333344,0.7033333333333331,Africa
HRF-0057,HRF-0057,-1.3610000000000042,-1.50766666666667,0.14666666666666583,South America
HRF-0058,HRF-0058,-11.762,-7.8445,-3.9175000000000004,Asia
HRF-0059,HRF-0059,-4.551,-7.347666666666666,2.796666666666666,North America
HRF-0060,HRF-0060,-6.609000000000002,-4.645666666666669,-1.963333333333333,North America
HRF-0061,HRF-0061,-3.1220000000000017,-6.412000000000001,3.289999999999999,North America
HRF-0062,HRF-0062,-0.9299999999999996,0.370000000000001,-1.3000000000000007,Asia
