term,log_odds,std_error,variable,effect_scale,odds_ratio,ci_low,ci_high,p_value,display_order,specification,lag_days,temperature_column,temperature_iqr_c,n_observations,n_strata,n_informative_strata,converged,p_value_holm,adjustment,weather_product,product_label
x_tmax_lag0_anomaly_c,0.2929516977653779,0.1340970903012135,tmax_lag0_anomaly_c,per IQR,1.3403780456131928,1.0305796395263431,1.7433037062400822,0.0289164398878052,1,Current day,0,tmax_lag0_anomaly_c,5.065352630615233,995,228,228,True,0.0473967944175577,Dewpoint + precipitation + wind,ERA5-Land,ERA5-Land
x_tmax_lag1_anomaly_c,0.3122307427829947,0.1263301550558759,tmax_lag1_anomaly_c,per IQR,1.3664699597367107,1.0667574627824254,1.7503886459744296,0.0134530381221102,2,Lag 1 day,1,tmax_lag1_anomaly_c,5.219143676757815,995,228,228,True,0.0403591143663307,Dewpoint + precipitation + wind,ERA5-Land,ERA5-Land
x_tmax_lag2_anomaly_c,0.2483771499848996,0.1098050028190676,tmax_lag2_anomaly_c,per IQR,1.2819433259383397,1.0337152429153351,1.5897789088251355,0.0236983972087788,3,Lag 2 days,2,tmax_lag2_anomaly_c,4.983522033691409,995,228,228,True,0.0473967944175577,Dewpoint + precipitation + wind,ERA5-Land,ERA5-Land
x_tmax_lag3_anomaly_c,0.3291816654905345,0.1109298575573542,tmax_lag3_anomaly_c,per IQR,1.389830316861438,1.118243493310548,1.7273771957738828,0.0030025593815091,4,Lag 3 days,3,tmax_lag3_anomaly_c,5.030397796630854,995,228,228,True,0.0120102375260364,Dewpoint + precipitation + wind,ERA5-Land,ERA5-Land
x_tmax_mean_lag0_3_anomaly_c,0.4365761594788059,0.1397173088000133,tmax_mean_lag0_3_anomaly_c,per IQR,1.5474000871891669,1.176719208305203,2.0348499565004112,0.0017798005135582,5,Mean lag 0–3 days,-1,tmax_mean_lag0_3_anomaly_c,4.679352188110359,995,228,228,True,0.0088990025677913,Dewpoint + precipitation + wind,ERA5-Land,ERA5-Land
x_tmax_lag0_anomaly_c,0.0970171199264422,0.1076844445268766,tmax_lag0_anomaly_c,per IQR,1.101879237551031,0.8922183482296819,1.3608079866941805,0.3676207332243892,1,Current day,0,tmax_lag0_anomaly_c,5.065352630615233,995,228,228,True,0.3676207332243892,Temperature only,ERA5-Land,ERA5-Land
x_tmax_lag1_anomaly_c,0.1627277963668744,0.1099710635282555,tmax_lag1_anomaly_c,per IQR,1.176716339627415,0.948555015978934,1.459758601895257,0.1389445525387543,2,Lag 1 day,1,tmax_lag1_anomaly_c,5.219143676757815,995,228,228,True,0.2778891050775086,Temperature only,ERA5-Land,ERA5-Land
x_tmax_lag2_anomaly_c,0.1775781092506413,0.1043301839172904,tmax_lag2_anomaly_c,per IQR,1.1943213418042775,0.973449771560486,1.4653077222490667,0.0887407501603088,3,Lag 2 days,2,tmax_lag2_anomaly_c,4.983522033691409,995,228,228,True,0.2662222504809265,Temperature only,ERA5-Land,ERA5-Land
x_tmax_lag3_anomaly_c,0.2770656467097691,0.1072898548305578,tmax_lag3_anomaly_c,per IQR,1.3192529728093851,1.0690576197965127,1.6280024332062455,0.0098114929176098,4,Lag 3 days,3,tmax_lag3_anomaly_c,5.030397796630854,995,228,228,True,0.049057464588049,Temperature only,ERA5-Land,ERA5-Land
x_tmax_mean_lag0_3_anomaly_c,0.2473567564098492,0.1213095709627781,tmax_mean_lag0_3_anomaly_c,per IQR,1.2806359063596828,1.0096361286957851,1.6243756320172706,0.0414446462740695,5,Mean lag 0–3 days,-1,tmax_mean_lag0_3_anomaly_c,4.679352188110359,995,228,228,True,0.1657785850962783,Temperature only,ERA5-Land,ERA5-Land
