term,log_odds,std_error,variable,effect_scale,odds_ratio,ci_low,ci_high,p_value,display_order,specification,lag_days,temperature_column,temperature_iqr_c,n_observations,n_strata,n_informative_strata,converged,p_value_holm,adjustment,weather_product
x_tmax_lag0_anomaly_c,0.2929516977653779,0.13409709030121358,tmax_lag0_anomaly_c,per IQR,1.3403780456131928,1.0305796395263433,1.7433037062400822,0.028916439887805286,1,Current day,0,tmax_lag0_anomaly_c,5.065352630615233,995,228,228,True,0.04739679441755775,Dewpoint + precipitation + wind,ERA5-Land
x_tmax_lag1_anomaly_c,0.3122307427829947,0.12633015505587594,tmax_lag1_anomaly_c,per IQR,1.3664699597367107,1.0667574627824254,1.7503886459744296,0.013453038122110246,2,Lag 1 day,1,tmax_lag1_anomaly_c,5.219143676757815,995,228,228,True,0.04035911436633074,Dewpoint + precipitation + wind,ERA5-Land
x_tmax_lag2_anomaly_c,0.24837714998489965,0.10980500281906765,tmax_lag2_anomaly_c,per IQR,1.2819433259383395,1.0337152429153353,1.5897789088251355,0.023698397208778876,3,Lag 2 days,2,tmax_lag2_anomaly_c,4.983522033691409,995,228,228,True,0.04739679441755775,Dewpoint + precipitation + wind,ERA5-Land
x_tmax_lag3_anomaly_c,0.3291816654905345,0.1109298575573542,tmax_lag3_anomaly_c,per IQR,1.389830316861438,1.118243493310548,1.7273771957738828,0.003002559381509106,4,Lag 3 days,3,tmax_lag3_anomaly_c,5.030397796630854,995,228,228,True,0.012010237526036424,Dewpoint + precipitation + wind,ERA5-Land
x_tmax_mean_lag0_3_anomaly_c,0.4365761594788059,0.13971730880001332,tmax_mean_lag0_3_anomaly_c,per IQR,1.5474000871891667,1.176719208305203,2.0348499565004112,0.0017798005135582727,5,Mean lag 0–3 days,-1,tmax_mean_lag0_3_anomaly_c,4.679352188110359,995,228,228,True,0.008899002567791364,Dewpoint + precipitation + wind,ERA5-Land
x_tmax_lag0_anomaly_c,0.09701711992644221,0.10768444452687666,tmax_lag0_anomaly_c,per IQR,1.1018792375510307,0.8922183482296819,1.3608079866941805,0.36762073322438926,1,Current day,0,tmax_lag0_anomaly_c,5.065352630615233,995,228,228,True,0.36762073322438926,Temperature only,ERA5-Land
x_tmax_lag1_anomaly_c,0.16272779636687446,0.1099710635282555,tmax_lag1_anomaly_c,per IQR,1.176716339627415,0.948555015978934,1.459758601895257,0.13894455253875432,2,Lag 1 day,1,tmax_lag1_anomaly_c,5.219143676757815,995,228,228,True,0.27788910507750864,Temperature only,ERA5-Land
x_tmax_lag2_anomaly_c,0.17757810925064138,0.10433018391729047,tmax_lag2_anomaly_c,per IQR,1.1943213418042775,0.973449771560486,1.4653077222490667,0.08874075016030886,3,Lag 2 days,2,tmax_lag2_anomaly_c,4.983522033691409,995,228,228,True,0.26622225048092657,Temperature only,ERA5-Land
x_tmax_lag3_anomaly_c,0.27706564670976913,0.10728985483055786,tmax_lag3_anomaly_c,per IQR,1.3192529728093851,1.0690576197965127,1.6280024332062455,0.009811492917609806,4,Lag 3 days,3,tmax_lag3_anomaly_c,5.030397796630854,995,228,228,True,0.04905746458804903,Temperature only,ERA5-Land
x_tmax_mean_lag0_3_anomaly_c,0.2473567564098492,0.12130957096277817,tmax_mean_lag0_3_anomaly_c,per IQR,1.2806359063596828,1.0096361286957851,1.6243756320172706,0.041444646274069595,5,Mean lag 0–3 days,-1,tmax_mean_lag0_3_anomaly_c,4.679352188110359,995,228,228,True,0.16577858509627838,Temperature only,ERA5-Land
