term,log_ratio,std_error,multiplicative_ratio,ci_low,ci_high,p_value,outcome_field,n_observations,n_positive,reporting_rate,weighting,effective_sample_size,outcome_transform,building_scale_definition
Intercept,1.5605954121511396,0.46005529262356554,4.761655548838008,1.9326401830869582,11.731808002441609,0.0006933609478683427,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(source_grade)[T.B],-0.5223639129819951,0.2676586746879416,0.5931168129362022,0.350997943197241,1.002249616003913,0.05098516126291433,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(source_grade)[T.C],-0.4314954742162595,0.3568802517725426,0.6495370021955402,0.3227165911543306,1.3073338303186512,0.22663351205969107,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.北美洲],-0.24758395319530976,0.33176048961637633,0.7806846770864909,0.4074510350760902,1.4958081157502083,0.4555024137463355,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.南美洲],-1.0314302917238831,0.405096926671371,0.35649670146475154,0.161149903748505,0.7886439594378425,0.01089239575741191,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.大洋洲],-0.8631832607120944,0.3170527623235069,0.4218171887952817,0.22659144726270988,0.7852447341353656,0.0064785633050953905,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.欧洲],-0.21617317544085718,0.2994403334736117,0.8055957803885595,0.44794884916839106,1.4487916702647643,0.47034117984517376,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.非洲],-0.7739893872123912,0.42298357820914834,0.4611696094778045,0.20128424805273396,1.056602346002713,0.0672748872349828,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
building_scale_scaled,-0.2071610081694854,0.16049407525872594,0.8128887577196159,0.5934932752414311,1.1133877332613986,0.19678329071576628,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
event_year_10y,-0.09815660304265815,0.13794863922465758,0.9065069308939514,0.6917463506078718,1.1879423939665956,0.47674685152802543,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
log_gdp_scaled,-0.5152231088440044,0.23473781287810733,0.5973673018212341,0.37707573538849315,0.9463554925313049,0.028171663331017945,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
construction_related,-0.538648404767984,0.27300213397619527,0.583536424658328,0.34173059462468725,0.9964421221254771,0.048489221607287455,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
facade_fire,-0.5064421488357836,0.25801983420281704,0.6026358578458841,0.36343274350499183,0.9992769877011823,0.049669049182257514,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
arson_trigger,0.17576058625621918,0.45094500387847064,1.1921526067627373,0.4925833365844743,2.8852535850397363,0.6967135956021597,deaths,177,74,0.9868421052631579,unweighted because numeric reporting exceeded 95%,177.0,log(outcome + 1),mean percentile rank of reported height and storeys
