term,log_odds,std_error,odds_ratio,ci_low,ci_high,p_value,outcome_field,n_observations,n_reported,event_year_iqr,log_gdp_iqr,reference_source_grade,reference_continent
Intercept,-1.086906744020203,0.49663014168218383,0.33725810754498153,0.12741550732346416,0.8926937818963265,0.02862856024032714,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(source_grade)[T.B],-0.4608989168953104,0.4528411973819594,0.6307164289507146,0.2596378084017493,1.5321467092835832,0.3087760075629218,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(source_grade)[T.C],-2.1511025761440905,0.9693737405701524,0.1163557958973465,0.01740365377631046,0.7779212005086862,0.026482356323823328,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(continent)[T.北美洲],-1.1603024287828874,0.7189056030451031,0.31339138797324356,0.0765847421474951,1.2824246619077826,0.10653080995001216,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(continent)[T.南美洲],1.2038973371190447,0.902236771910735,3.3330817854689556,0.5686519405360433,19.536439422245788,0.18209001316035112,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(continent)[T.大洋洲],1.4267950437084822,0.780955381773,4.165328082014528,0.9013357001663836,19.249163244744533,0.06770177916905852,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(continent)[T.欧洲],0.2169780841168084,0.5110693590442232,1.2423168753678882,0.4562484097322488,3.38269939336239,0.6711596303070458,evacuated,221,42,10.0,1.1050913463876455,A,Asia
C(continent)[T.非洲],0.2621441428520682,1.0801115397869323,1.2997138733924312,0.1564725826428216,10.795860361970279,0.8082370384376658,evacuated,221,42,10.0,1.1050913463876455,A,Asia
event_year_scaled,1.495532719646737,0.43314765330037386,4.461712761911371,1.9089690256465464,10.42807950383614,0.000554987744186813,evacuated,221,42,10.0,1.1050913463876455,A,Asia
log_gdp_scaled,0.44296651845101387,0.39395395869907146,1.557320191976586,0.7195111610105319,3.3706859764785366,0.2608383268487253,evacuated,221,42,10.0,1.1050913463876455,A,Asia
