term,log_ratio,std_error,multiplicative_ratio,ci_low,ci_high,p_value,outcome_field,n_observations,n_positive,reporting_rate,weighting,effective_sample_size,outcome_transform,building_scale_definition
Intercept,4.068724568819193,0.7383749508266824,58.48232482373564,13.756475589303955,248.6234424352276,3.580653383658636e-08,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(source_grade)[T.B],-0.07366653144714236,0.33589851635253937,0.9289814282875909,0.48093285005460745,1.7944428083988486,0.8264071167523881,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(source_grade)[T.C],0.9959117783212372,0.6198758923355814,2.7071915749128976,0.8032855930608692,9.123637080746231,0.10813535444160915,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.北美洲],-1.2656058053130068,0.5646242498153223,0.282068365855847,0.09326882772400229,0.8530455990293627,0.024993642575542336,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.南美洲],-1.4474611526194603,0.8092119874336791,0.23516658288571526,0.048146027439726534,1.1486580440178076,0.07365842965653169,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.大洋洲],-1.8549889356969955,0.44468126783693207,0.15645467372729485,0.06544375414069946,0.3740321021084483,3.025979897595765e-05,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.欧洲],-1.198831946657879,0.43704679430375976,0.301546228365028,0.1280360180674991,0.7101917820752306,0.006087534488417969,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
C(continent)[T.非洲],-1.2889574733360942,0.6320545378465938,0.27555790986357087,0.07983571106756958,0.9511052218738812,0.04141872996425122,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
building_scale_scaled,-0.2953285102972479,0.26268670111522024,0.7442870413429595,0.4447715744354086,1.2455004585539335,0.2609021615081867,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
event_year_10y,-0.6372858051749739,0.25538410162897696,0.5287255424130958,0.32051101200946835,0.8722031029366443,0.01258147710215359,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
log_gdp_scaled,0.01392113343968927,0.34097246825868716,1.0140184836349495,0.5197616674252521,1.9782787950617664,0.9674332287750768,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
construction_related,-1.165024600425827,0.6914778882771727,0.31191498869671974,0.08043376233130513,1.2095786315817874,0.09202084203296433,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
facade_fire,-1.366909720150323,0.4144842147280471,0.2548934357594631,0.11312082530578205,0.574347503367646,0.0009742569481265767,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
arson_trigger,0.11029898530598409,0.6188122945015057,1.1166118710975872,0.3320156701551606,3.7553109167810623,0.8585321089031059,injuries,127,85,0.7105263157894737,stabilized inverse-probability weighting,120.59115437338724,log(outcome + 1),mean percentile rank of reported height and storeys
