term,log_odds,std_error,odds_ratio,ci_low,ci_high,p_value,outcome_field,n_observations,n_reported,event_year_iqr,log_gdp_iqr,reference_source_grade,reference_continent
Intercept,1.47896509958361,0.42194656553780513,4.388401771256947,1.919279453811193,10.034010455189089,0.00045643502367866937,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(source_grade)[T.B],0.049399593398299524,0.42797976654328096,1.0506400957170194,0.4540986794117774,2.4308474364165664,0.9081082108369553,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(source_grade)[T.C],-1.2183501982501694,0.5535485375644743,0.29571764017655183,0.09992800204272718,0.8751192951320811,0.02773731976481438,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(continent)[T.北美洲],0.19728401854783048,0.5966014639765971,1.2180899517202257,0.37830487877621927,3.9220829910561847,0.7408864053246951,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(continent)[T.南美洲],1.2510217905987735,1.1525059499598849,3.4939111797598184,0.3649883399243682,33.44604196008078,0.277709258382587,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(continent)[T.大洋洲],0.25271008201373085,0.807486451258805,1.2875099504280956,0.26448695127528327,6.267537451123664,0.7543118779188984,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(continent)[T.欧洲],-0.4171830050085028,0.4036100122581707,0.6589003268499695,0.29871700389949,1.453381076589386,0.30130964635027857,injuries,221,158,10.0,1.1050913463876455,A,Asia
C(continent)[T.非洲],0.8749094226580448,0.6808121624357905,2.3986580200594836,0.631610472573501,9.109349111569923,0.19875851546159506,injuries,221,158,10.0,1.1050913463876455,A,Asia
event_year_scaled,0.10398977959484687,0.23836029226401534,1.1095891144073275,0.6954498384375081,1.7703476724897822,0.6626398261170426,injuries,221,158,10.0,1.1050913463876455,A,Asia
log_gdp_scaled,0.9468935160605622,0.2835543388621567,2.577689657240532,1.4786463071500755,4.493626323560303,0.0008396793478126412,injuries,221,158,10.0,1.1050913463876455,A,Asia
