term,log_odds,std_error,variable,effect_scale,odds_ratio,ci_low,ci_high,p_value,display_order,specification,lag_days,temperature_column,temperature_iqr_c,n_observations,n_strata,n_informative_strata,converged,p_value_holm,adjustment,weather_product
x_tmax_lag0_anomaly_c,0.2964855479728629,0.13073668060837723,tmax_lag0_anomaly_c,per IQR,1.3451231201009446,1.0410623206512377,1.7379902935092832,0.023340977927195156,1,Current day,0,tmax_lag0_anomaly_c,4.7090000000000005,1001,228,228,True,0.07002293378158547,Dewpoint + precipitation + wind,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag1_anomaly_c,0.2140497329935864,0.12358047228605443,tmax_lag1_anomaly_c,per IQR,1.238684256737811,0.972225026387004,1.5781723842185318,0.08326152574046862,2,Lag 1 day,1,tmax_lag1_anomaly_c,4.841999999999999,1001,228,228,True,0.08326152574046862,Dewpoint + precipitation + wind,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag2_anomaly_c,0.2403075908398188,0.10984500752618463,tmax_lag2_anomaly_c,per IQR,1.271640235059129,1.0253267846663232,1.577125372714697,0.02869168246309475,3,Lag 2 days,2,tmax_lag2_anomaly_c,4.838000000000001,1001,228,228,True,0.07002293378158547,Dewpoint + precipitation + wind,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag3_anomaly_c,0.3489202655059971,0.11555684523376367,tmax_lag3_anomaly_c,per IQR,1.4175361593074167,1.130238699427332,1.7778622904720454,0.0025321854121989717,4,Lag 3 days,3,tmax_lag3_anomaly_c,4.933,1001,228,228,True,0.012660927060994859,Dewpoint + precipitation + wind,NASA POWER MERRA-2/GEOS-IT
x_tmax_mean_lag0_3_anomaly_c,0.4062297688900352,0.13668381189787793,tmax_mean_lag0_3_anomaly_c,per IQR,1.5011474298141865,1.1483538677525589,1.9623250892583735,0.002958280511540808,5,Mean lag 0–3 days,-1,tmax_mean_lag0_3_anomaly_c,4.255999999999996,1001,228,228,True,0.012660927060994859,Dewpoint + precipitation + wind,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag0_anomaly_c,0.10601787239175939,0.1048933634818422,tmax_lag0_anomaly_c,per IQR,1.1118417476002458,0.9052237574578398,1.3656204463506292,0.312150224304507,1,Current day,0,tmax_lag0_anomaly_c,4.7090000000000005,1001,228,228,True,0.624300448609014,Temperature only,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag1_anomaly_c,0.0995525313773434,0.10562283436073075,tmax_lag1_anomaly_c,per IQR,1.1046764993938092,0.8981050602110077,1.358761042974473,0.3459221280714899,2,Lag 1 day,1,tmax_lag1_anomaly_c,4.841999999999999,1001,228,228,True,0.624300448609014,Temperature only,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag2_anomaly_c,0.16681463103061406,0.1022801976859132,tmax_lag2_anomaly_c,per IQR,1.1815352250403954,0.9669054582228171,1.443807640280745,0.10289933806761793,3,Lag 2 days,2,tmax_lag2_anomaly_c,4.8255,1003,228,228,True,0.3086980142028538,Temperature only,NASA POWER MERRA-2/GEOS-IT
x_tmax_lag3_anomaly_c,0.29447415542180316,0.11031819662499734,tmax_lag3_anomaly_c,per IQR,1.3424202686358109,1.0813935030451403,1.6664536753454293,0.007600584713773526,4,Lag 3 days,3,tmax_lag3_anomaly_c,4.929000000000001,1004,228,228,True,0.03800292356886763,Temperature only,NASA POWER MERRA-2/GEOS-IT
x_tmax_mean_lag0_3_anomaly_c,0.22227408531738566,0.11494018192447994,tmax_mean_lag0_3_anomaly_c,per IQR,1.2489136398490137,0.9969958502610426,1.5644852276892773,0.053134767754166534,5,Mean lag 0–3 days,-1,tmax_mean_lag0_3_anomaly_c,4.2532499999999995,1004,228,228,True,0.21253907101666614,Temperature only,NASA POWER MERRA-2/GEOS-IT
